Humbert humbert
Eutamias minimus
Abra cadabra
Agra dable
Agra vation
Agra phobia
Apopyllus
Ba humbugi Solem, 1983 (endodontoid snail) from Mba island, Fiji.
Bombylius aureocookae
Carmenelectra shechisme
Cindarella eucalla
Cyclocephala nodanotherwon
Daphoenus demilo
Desmatoneura jambalaia
Dissup irae
Eubetia bigaulae
Eurygenius
Gelae baen
Gelae belae
Gelae donut
Gelae fish
Gelae rol
Gressittia titsadaysi
Heerz lukenatcha
La paloma
Lalapa lusa
Ohmyia omya
Pieza deresistans
Pieza rhea
Pison eyvae
Aphanus rolandri
Enema pan
Eremobates inyoanus
Labia minor
Narcissus assoanus
Natica josephine
Orgia nova
Peniculus asinus
Pison eu
Pinus rigida
Pinus flexilis
