"ID","","","","","","","","","","","","TaxonLevel","","","","","","","","","","","","","","","","","","","","","","<i>Genus Species </i>"
"10300001","","","","","","","","","","","","ORDER","","","","","","","","","","","","","","","","","","","","","",""
"10300002","","","","","","","","","","","","FAMILY","","","","","","","","","","","","","","","","","","","","","",""
"10300003","","","","","","","","","","","","GENUS","","","","","","","","","","","","<i>Echidna novaehollandiae</i> <i>Myrmecophaga aculeatus</i>","","","","","<i>Acanthonotus</i> <i>Echidna</i> <i>Echinopus</i> <i>Syphonia</i>","","","","",""
"10300004","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","<i>T. a.</i> <i>multiaculeatus</i>","<i>australiensis</i> <i> australis<b> </b></i> <i> corealis </i> <i> eracinius </i> <i> hystrix </i> <i> longiaculeata </i> <i> myrmecophagus </i> <i> novaehollandiae </i> <i> orientalis </i> <i> sydneiensis</i> <i>typica</i> <i> acanthion</i> <i> </i> <i> ineptus<b> </b></i> <i> <b>lawesii </b></i> <i>multiaculeatus </i> <i> <b>setosus</b> </i> <i> breviaculeata </i> <i> hobartensis </i> <i>longirostrus </i>","<i>lawesii</i> <i>setosus, </i>","","","","<i>Tachyglossus aculeatus </i>"
"10300005","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Tachyglossus aculeatus </i>"
"10300006","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Tachyglossus aculeatus </i>"
"10300007","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Tachyglossus aculeatus </i>"
"10300008","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Tachyglossus aculeatus </i>"
"10300009","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Tachyglossus aculeatus </i>"
"10300010","","","","","","","","","","","","GENUS","","","","","","","","","","","","<i>Tachyglossus bruijni</i>","","","","","<i>Acanthoglossus</i> <i> Bruynia </i> <i>Proechidna </i> <i>Prozaglossus</i>","","","","",""
"10300011","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Zaglossus attenboroughi </i>"
"10300012","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","<i>Z. bruijni </i>","<i>bubuensis</i> <i> <b>clunius </b></i> <i> diamondi</i> <i> </i> <i>smeenki </i>","","","","","<i>Zaglossus bartoni </i>"
"10300013","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Zaglossus bartoni </i>"
"10300014","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Zaglossus bartoni </i>"
"10300015","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Zaglossus bartoni </i>"
"10300016","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Zaglossus bartoni </i>"
"10300017","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>goodfellowi</i> <i>gularis </i> <i> nigro-aculeatus </i> <i>pallidus</i> <i>tridactyla </i> <i> villosissima </i>","<i>bartoni</i> <i>bubuensis</i>","","","","<i>Zaglossus bruijni </i>"
"10300018","","","","","","","","","","","","FAMILY","","","","","","","","","","","","","","","","","","","","","",""
"10300019","","","","","","","","","","","","GENUS","","","","","","","","","","","","<i>Ornithorhynchus paradoxus</i> <i>Platypus anatinus</i>","","","","","<i>Dermipus</i> <i>Platypus </i>","<i>Platypus</i> <i>Platypus</i> <i>Ornithorynchus</i>","","","",""
"10300020","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>brevirostris</i> <i>crispus, </i> <i>fuscus </i> <i>laevis </i> <i>novaehollandiae </i> <i>paradoxus </i> <i> phoxinus </i> <i>rufus </i> <i>triton</i>","","","","","<i>Ornithorhynchus anatinus </i>"
"10400001","","","","","","","","","","","","ORDER","","","","","","","","","","","","","","","","","<i>sensu</i> <i>a</i>","<i>contra</i>","","","",""
"10400002","","","","","","","","","","","","FAMILY","","","","","","","","","","","","","","","","","","<i>Dromiciops</i> <i>sensu</i> <i>a</i>","","","",""
"10400003","","","","","","","","","","","","SUBFAMILY","","","","","","","","","","","","","","","","","","<i>a</i>","","","",""
"10400004","","","","","","","","","","","","GENUS","","","","","","","","","","","","<i>Didelphis philander</i>","","","","","<i>Didelphis</i> <i> Gamba</i> <i>Mallodelphys</i> <i>Didelphis laniger</i> <i>Philander</i> <i>Philander</i> <i>Philander</i> <i>Sarigua</i>","<i>Calurosymys</i> <i>Caluromys</i>","","","",""
"10400005","","","","","","","","","","","","SUBGENUS","","","","","","","","","","","","<i>Didelphis philander</i>","","","","","","","","","",""
"10400006","","","","","","","","","","","","SUBGENUS","","","","","","","","","","","","<i>Didelphis laniger</i>","","","","","","","","","",""
"10400007","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>antioquiae</i> <i>guayanus</i> <i>pictus</i> <i>pyrrhus</i> <i>senex</i> <i>aztecus</i> <i>centralis</i> <i>canus</i> <i> <b>fervidus</b></i> <i>nauticus</i> <i>pallidus</i> <i>pulcher</i>","<i>Mallodelphys</i> <i>pulcher</i>","","","","<i>Caluromys derbianus </i>"
"10400008","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Caluromys derbianus </i>"
"10400009","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Caluromys derbianus </i>"
"10400010","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Caluromys derbianus </i>"
"10400011","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Caluromys derbianus </i>"
"10400012","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Caluromys derbianus </i>"
"10400013","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Caluromys derbianus </i>"
"10400014","","","","","","","","","","","","SPECIES","","","","","","","<i>In</i>","","","","","","","","","","<i>cahyensis</i> <i>lanigera</i> <i>cicur</i> <i>meridensis</i> <i>nattereri</i> <i>modesta</i> <i>ochropus</i> <i>ornatu</i> <i>s</i> <i> bartletti</i> <i> jivaro</i> <i>juninensis</i> <i>vitalinus</i> <i>hemiurus</i>","<i>Mallodelphys.</i> <i>hemiurus</i> <i>calmensis</i> <i>cahyensis</i>","","","","<i>Caluromys lanatus </i>"
"10400015","","","","","","","","","","","","SUBSPECIES","","","","","","","<i>In</i>","","","","","","","","","","","","","","","<i>Caluromys lanatus </i>"
"10400016","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Caluromys lanatus </i>"
"10400017","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Caluromys lanatus </i>"
"10400018","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Caluromys lanatus </i>"
"10400019","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Caluromys lanatus </i>"
"10400020","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Caluromys lanatus </i>"
"10400021","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","<i>a</i>","","","<i>cajopolin</i> <i>cayopollin</i> <i>leucurus</i> <i>affinis</i> <i>dichurus</i> <i>trinitatis</i> <i>venezuelae</i>","<i> Caluromys. Didelphys longicaudata</i> <i>D</i> <i>macrura</i> <i>D</i> <i>macrura</i> <i>Thylamy</i> <i>macrura</i> <i>nomina nuda</i> <i>dichrura</i> <i>dichrura</i> <i>dichrurus</i> <i>dichura</i>","","","","<i>Caluromys philander </i>"
"10400022","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","<i>a</i>","","","","","","","","<i>Caluromys philander </i>"
"10400023","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Caluromys philander </i>"
"10400024","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Caluromys philander </i>"
"10400025","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Caluromys philander </i>"
"10400026","","","","","","","","","","","","GENUS","","","","","","","","","","","","<i>Caluromysiops irrupta</i>","","","","","","","","","",""
"10400027","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Caluromysiops irrupta </i>"
"10400028","","","","","","","","","","","","GENUS","","","","","","","","","","","","<i>Glironia venusta</i>","","","","","","","","","",""
"10400029","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>aequatorialis</i> <i>criniger</i>","<i>c</i>","","","","<i>Glironia venusta </i>"
"10400030","","","","","","","","","","","","SUBFAMILY","","","","","","","","","","","","","","","","","","<i>a</i> <i>Chironectes</i> <i>Didelphis</i> <i>Philander</i> <i>Lutreolina</i> <i>Chironectes</i> <i>Lutreolina</i>","","","",""
"10400031","","","","","","","","","","","","GENUS","","","","","","","","","","","","<i>Lutra minima</i>","","","","","<i>Gamba</i> <i>Memina</i> <i>Sarigua</i>","<i>Memina</i> <i>nomen nudum</i> <i>Cheronectes</i> <i>Cheironectes</i> <i>Cheironectes</i> <i>Chironeytes</i> <i>Chironectes</i>","","","",""
"10400032","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>cayennensis</i> <i>guianensis</i> <i>gujanensis</i> <i>palmata</i> <i>in</i> <i>paraguensis</i> <i>sarcovienna</i> <i>variegatus</i> <i>yapock</i> <i>; argyrodytes</i> <i>langsdorffi</i> <i>bresslaui</i> <i>panamensis</i>","<i>d</i> <i>variegatus</i> <i>nomen nudum</i> <i>memia</i> <i>memina</i> <i>memina</i> <i>memmina</i> <i>memmina</i> <i>minimus</i>","","","","<i>Chironectes minimus </i>"
"10400033","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Chironectes minimus </i>"
"10400034","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Chironectes minimus </i>"
"10400035","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Chironectes minimus </i>"
"10400036","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Chironectes minimus </i>"
"10400037","","","","","","","","","","","","GENUS","","","","","","","","","","","","<i>Didelphis marsupialis</i>","","","","","<i>Dasyurotherium</i> <i>Thylacotherium</i> <i>Dimerodon</i> <i>Gamba</i> <i>Gambatherium</i> <i>Thylacotherium</i> <i>Leucodidelphis</i> <i>Opossum</i> <i>Sarigua</i> <i>Thylacotherium</i>","<i>Didelphys</i> <i>Didelphis</i> <i>Leucodidelphys</i> <i>Leucodidelphis</i> <i>Didelphus</i> <i>Didelphis</i>","","","",""
"10400038","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>antigua</i> <i>bonariensis</i> <i>brasiliensis</i> <i>dennleri</i> <i>lechei</i> <i>leucotis</i> <i>paraguayensis</i> <i>poecilonota</i> <i>poecilotis</i>","<i>D</i> <i>azarae</i> <i>Didelphis paraguayensis</i> <i>Didelphis albiventris</i> <i>Leucodidelphis</i>","","","","<i>Didelphis albiventris </i>"
"10400039","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>azarae</i> <i>brasiliensis</i> <i>koseritzi</i> <i>longipilis</i> <i>melanoidis</i> <i>typica</i>","<i>D</i> <i>marsupialis</i> <i>D</i> <i>azarae</i> <i>D</i> <i>albiventris</i> <i>leucoprymnus</i> <i>nomen nudum</i> <i>longigilis</i> <i>longipilis</i>","","","","<i>Didelphis aurita </i>"
"10400040","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>D. albiventris</i>","","","","<i>Didelphis imperfecta </i>"
"10400041","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","<i>a</i>","","","<i>austroamericana</i> <i>brasiliensis</i> <i>cancrivora</i> <i>karkinophaga</i> <i>typica</i> <i>caucae</i> <i>battyi</i> <i>colombica</i> <i>etensis</i> <i>insularis</i> <i>mesamericana</i> <i>particeps</i> <i>richmondi</i> <i>tabascensis</i>","<i>carcinophaga</i> <i>karkinophaga</i>","","","","<i>Didelphis marsupialis </i>"
"10400042","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","<i>a</i>","","","","","","","","<i>Didelphis marsupialis </i>"
"10400043","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Didelphis marsupialis </i>"
"10400044","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>andina</i> <i>meridensis</i>","<i>albiventris</i>","","","","<i>Didelphis pernigra </i>"
"10400045","","","","","","","","","","","","SPECIES","","","","","","","<i>In</i>","","","","","","","<i>c</i>","","","<i>boreoamericana</i> <i>illinensium</i> <i>pilosissima</i> <i>pruinosa</i> <i>typica</i> <i>woapink</i> <i>californica</i> <i>breviceps</i> <i>mesamericana</i> <i>pigra</i> <i>texensis</i> <i>yucatanensis</i> <i>cozumelae</i>","","","","","<i>Didelphis virginiana </i>"
"10400046","","","","","","","","","","","","SUBSPECIES","","","","","","","<i>In</i>","","","","","","","<i>c</i>","","","","","","","","<i>Didelphis virginiana </i>"
"10400047","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Didelphis virginiana </i>"
"10400048","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Didelphis virginiana </i>"
"10400049","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Didelphis virginiana </i>"
"10400050","","","","","","","","","","","","GENUS","","","","","","","","","","","","<i>Didelphys microtarsus</i>","","","","","<i>Didelphis</i> <i> Grymaeomys</i>","<i>Marmosa</i> <i>sensu lato</i>","","","",""
"10400051","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>Thylamys</i>","","","","<i>Gracilinanus aceramarcae </i>"
"10400052","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>beatrix</i> <i>blaseri</i> <i>buenavistae</i> <i>chacoensis</i> <i>peruana</i> <i>rondoni</i> <i>unduaviensis</i>","<i>G. a. chacoensis</i> <i>G. agilis</i> <i>G. microtarsus</i>","","","","<i>Gracilinanus agilis </i>"
"10400053","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>emiliae</i> <i>emiliae</i> <i>Gracilinanus</i>","","","","<i>Gracilinanus agricolai </i>"
"10400054","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Gracilinanus dryas </i>"
"10400055","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","<i>G. longicaudis</i> <i>G. longicaudis</i>","<i>longicaudis</i>","","","","","<i>Gracilinanus emiliae </i>"
"10400056","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>Marmosa muscula</i>","<i>agilis</i> <i>Gracilinanus</i>","","","","<i>Gracilinanus formosus </i>"
"10400057","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Gracilinanus ignitus </i>"
